kappa,run,interval,wind_dispatched,wind_revenue
180,5,24,300.0,8315.177575888516
180,6,1,300.0,5733.560054803051
180,6,2,300.0,15139.127987626765
180,6,3,300.0,3283.9533076021235
180,6,4,300.0,9858.544288561592
180,6,5,300.0,15188.038182913424
180,6,6,260.97742467528076,13048.871233764037
180,6,7,132.70691589058617,6635.3457945293085
180,6,8,5.614576044416708,280.7288022208354
180,6,9,0.0,0.0
180,6,10,0.0,0.0
180,6,11,132.56783786944584,6628.3918934722915
180,6,12,0.0,0.0
180,6,13,0.0,0.0
180,6,14,166.88288973110298,8344.14448655515
180,6,15,0.0,0.0
180,6,16,34.41932486631424,1720.966243315712
180,6,17,300.0,13065.649249592718
180,6,18,300.0,15312.65207324872
180,6,19,300.0,7089.22623322594
180,6,20,300.0,15903.326695915648
180,6,21,300.0,11262.567829783153
180,6,22,300.0,6037.675032835799
180,6,23,237.82605530853016,11891.302765426508
180,6,24,300.0,15082.224038647664
180,7,1,248.81529881631184,12440.764940815592
180,7,2,300.0,16135.314674814648
180,7,3,221.1029213251319,5594.176871314901
180,7,4,274.2023389380995,13710.116946904975
180,7,5,238.1648698113679,11908.243490568395
180,7,6,300.0,9368.847257516862
180,7,7,300.0,3946.87121247289
180,7,8,66.90655787726041,3345.3278938630206
180,7,9,0.0,0.0
180,7,10,0.0,0.0
180,7,11,132.44542155657723,6622.271077828862
180,7,12,0.0,0.0
180,7,13,149.48141155918097,7474.070577959048
180,7,14,151.84567558116532,7592.283779058266
180,7,15,185.16869195174843,9258.434597587422
180,7,16,285.37779565417173,13881.83793459437
180,7,17,159.56252389214683,7978.126194607341
180,7,18,300.0,1921.030715436258
180,7,19,300.0,16057.69752190062
180,7,20,232.5628405826277,11628.142029131384
180,7,21,255.63764261395704,12781.882130697852
180,7,22,245.9390752814669,9313.035135816586
180,7,23,300.0,7875.1077485574615
180,7,24,300.0,15026.260941236647
180,8,1,232.27898521185568,11613.949260592784
180,8,2,233.86180854034535,11693.090427017267
180,8,3,300.0,2254.0186490847536
180,8,4,300.0,7769.720971459987
180,8,5,260.0842386717188,13004.21193358594
180,8,6,211.94709118684614,10597.354559342308
180,8,7,155.7392439334767,7786.962196673835
180,8,8,53.455911723628105,2672.7955861814053
180,8,9,0.0,0.0
180,8,10,146.43004699661083,7321.502349830542
180,8,11,118.95038260425144,5947.519130212572
180,8,12,103.58709602368504,5179.354801184252
180,8,13,0.0,0.0
180,8,14,193.62829600938562,9681.414800469282
180,8,15,209.9270775621486,10496.353878107431
180,8,16,300.0,2978.031804161561
180,8,17,136.29929021756004,6814.964510878002
180,8,18,243.62567251970927,12181.283625985463
180,8,19,283.7131292058938,14185.65646029469
180,8,20,300.0,10442.743384514562
180,8,21,255.92880666059773,12796.440333029886
180,8,22,300.0,16137.675856810336
180,8,23,300.0,2154.990207494642
180,8,24,248.41699636613407,5516.823348932075
180,9,1,300.0,3863.712440234671
180,9,2,225.08271324872248,11254.135662436125
180,9,3,239.9031573659763,11995.157868298815
180,9,4,300.0,4017.6545601199978
180,9,5,259.77184453661175,12988.592226830588
180,9,6,300.0,15012.461154827562
180,9,7,300.0,10862.685517155374
180,9,8,48.65864952378081,2432.9324761890402
180,9,9,239.48231036210632,11974.115518105316
180,9,10,155.6848817087233,7784.244085436166
180,9,11,0.0,0.0
180,9,12,0.0,0.0
180,9,13,115.05301481501124,5752.650740750561
180,9,14,155.7763359980811,7788.816799904054
180,9,15,0.0,0.0
180,9,16,41.87203279808841,2093.6016399044206
180,9,17,109.48371634155558,5474.185817077779
180,9,18,271.73883818335514,13586.941909167757
180,9,19,300.0,15040.503117172746
180,9,20,247.36894113620747,12368.447056810373
180,9,21,276.14087140334027,13807.043570167014
180,9,22,300.0,15057.329747792115
180,9,23,238.59372011860148,11929.686005930074
180,9,24,242.18501041536615,12109.250520768308
180,10,1,268.27914216540955,13413.957108270477
180,10,2,300.0,4745.441856948219
180,10,3,300.0,15266.14854030279
180,10,4,300.0,11652.698269425331
180,10,5,300.0,732.5100979064446
180,10,6,300.0,3225.79677276204
180,10,7,138.3987869736228,6919.9393486811405
180,10,8,42.949787406432165,2147.4893703216085
180,10,9,0.0,0.0
180,10,10,187.52394474748428,9376.197237374214
180,10,11,113.89767592655505,5694.883796327753
180,10,12,78.98980343081485,3949.4901715407423
180,10,13,0.0,0.0
180,10,14,0.0,0.0
180,10,15,0.0,0.0
180,10,16,277.5505913195486,13877.52956597743
180,10,17,300.0,14806.154898997942
