qu,run,t,dispatched_wind_MWh,wind_revenue_USD
180,3,13,106.436922,5321.84608
180,3,14,0.0,0.0
180,3,15,0.0,0.0
180,3,16,291.33996,8749.543519
180,3,17,300.0,6642.554945
180,3,18,300.0,15286.191298
180,3,19,254.144247,12707.212336
180,3,20,253.527989,12676.399449
180,3,21,300.0,10819.422809
180,3,22,300.0,8355.006895
180,3,23,271.191396,13559.569809
180,3,24,300.0,15294.389889
180,4,1,300.0,-11402.901349
180,4,2,300.0,3330.740632
180,4,3,300.0,3273.165635
180,4,4,231.642818,-2875.264382
180,4,5,300.0,-3338.911935
180,4,6,227.981071,11399.053558
180,4,7,300.0,11299.12381
180,4,8,48.795676,2439.783822
180,4,9,0.0,0.0
180,4,10,0.0,0.0
180,4,11,0.0,0.0
180,4,12,84.176742,4208.837099
180,4,13,144.46782,7223.391004
180,4,14,164.348353,8217.417628
180,4,15,0.0,0.0
180,4,16,300.0,15245.570292
180,4,17,300.0,15690.535854
180,4,18,300.0,4041.481234
180,4,19,300.0,15393.59511
180,4,20,250.218212,12510.910583
180,4,21,247.337447,12366.872333
180,4,22,300.0,10630.665845
180,4,23,300.0,15384.214192
180,4,24,253.87921,9334.504756
180,5,1,300.0,-998.126438
180,5,2,300.0,6707.463835
180,5,3,300.0,15603.85495
180,5,4,300.0,1969.869291
180,5,5,269.510075,13475.503769
180,5,6,248.184838,12409.241899
180,5,7,165.992799,8299.639959
180,5,8,300.0,8132.28219
180,5,9,0.0,0.0
180,5,10,149.862352,7493.117582
180,5,11,131.43671,6571.835513
180,5,12,0.0,0.0
180,5,13,0.0,0.0
180,5,14,146.676216,7333.810789
180,5,15,218.121927,10906.096334
180,5,16,70.76218,3538.108991
180,5,17,300.0,-11036.724529
180,5,18,250.726334,12536.316707
180,5,19,300.0,15419.571831
180,5,20,300.0,6707.098639
180,5,21,291.902969,14595.148437
180,5,22,259.997337,11333.912884
180,5,23,300.0,2931.358934
180,5,24,300.0,-7266.119788
180,6,1,300.0,15375.941878
180,6,2,253.020731,12651.03656
180,6,3,217.520516,10876.025785
180,6,4,300.0,17933.687396
180,6,5,242.696449,12134.822471
180,6,6,281.90952,12179.055498
180,6,7,300.0,11364.427636
180,6,8,254.091745,12704.587255
180,6,9,0.0,0.0
180,6,10,0.0,0.0
180,6,11,0.0,0.0
180,6,12,0.0,0.0
180,6,13,95.575963,4778.798147
180,6,14,0.0,0.0
180,6,15,0.0,0.0
180,6,16,300.0,15010.460496
180,6,17,300.0,154.668284
180,6,18,242.340427,12117.021344
180,6,19,300.0,15270.567658
180,6,20,202.75593,10137.796499
180,6,21,236.794732,7170.362541
180,6,22,243.163604,12158.180193
180,6,23,261.987569,13099.378428
180,6,24,271.780256,13589.012812
180,7,1,249.942297,12497.114859
180,7,2,300.0,15303.685749
180,7,3,300.0,15335.888295
180,7,4,300.0,3250.407384
180,7,5,299.369291,14968.464546
180,7,6,280.455513,13659.95844
180,7,7,300.0,10105.159699
180,7,8,296.588147,9095.744941
180,7,9,219.650529,10982.526457
180,7,10,166.265696,8313.284819
180,7,11,0.0,0.0
180,7,12,95.452699,4772.63495
180,7,13,93.293819,4664.690936
180,7,14,137.051737,6852.586853
180,7,15,189.04735,9452.367522
180,7,16,300.0,15005.189741
180,7,17,142.098616,7104.930785
180,7,18,260.110192,13005.509604
180,7,19,300.0,-4009.158253
180,7,20,300.0,1892.011484
180,7,21,300.0,15789.094347
180,7,22,300.0,2999.562275
180,7,23,300.0,9344.844637
180,7,24,300.0,7079.650719
180,8,1,278.607282,7318.346012
180,8,2,300.0,10192.458293
180,8,3,250.466548,11393.358105
180,8,4,238.430888,11921.544379
180,8,5,300.0,3081.539199
180,8,6,300.0,11827.937013
180,8,7,163.277602,8163.880096
180,8,8,33.614443,1680.722173
180,8,9,185.674954,9283.74769
180,8,10,160.6097,8030.485016
180,8,11,0.0,0.0
180,8,12,104.327303,5216.365168
180,8,13,101.925661,5096.28306
180,8,14,193.534954,9676.747681
180,8,15,0.0,0.0
180,8,16,287.113602,4382.5089
180,8,17,300.0,12402.160821
180,8,18,300.0,-12411.297117
180,8,19,300.0,15809.237698
180,8,20,227.044483,11352.224156
180,8,21,247.392825,12369.641228
180,8,22,230.342429,11517.121442
180,8,23,300.0,9734.030088
180,8,24,215.414828,10770.741399
180,9,1,281.886475,14094.323754
180,9,2,246.931789,12346.589434
180,9,3,246.744294,12337.214689
180,9,4,254.385053,12719.252658
180,9,5,300.0,-5465.714649
180,9,6,300.0,13101.104688
180,9,7,152.634864,7631.743209
180,9,8,44.081799,2204.089937
180,9,9,0.0,0.0
180,9,10,160.194925,8009.746271
180,9,11,0.0,0.0
180,9,12,0.0,0.0
180,9,13,89.258329,4462.916437
180,9,14,0.0,0.0
180,9,15,0.0,0.0
180,9,16,41.092768,2054.638402
180,9,17,106.11557,5305.7785
180,9,18,300.0,15312.198524
180,9,19,300.0,12564.912408
180,9,20,263.838996,13191.949821
180,9,21,240.735872,12036.79359
180,9,22,300.0,15166.981978
180,9,23,229.850092,11492.504593
180,9,24,272.209968,13610.498411
180,10,1,300.0,9987.443959
180,10,2,300.0,12150.255621
180,10,3,300.0,12737.634266
180,10,4,223.201298,8344.816256
180,10,5,300.0,13471.391241
180,10,6,240.736028,10202.509015
180,10,7,146.355753,7317.787658
180,10,8,300.0,10912.654573
180,10,9,0.0,0.0
180,10,10,0.0,0.0
180,10,11,104.384981,5219.249074
180,10,12,0.0,0.0
180,10,13,0.0,0.0
180,10,14,190.402096,9520.104783
180,10,15,0.0,0.0
180,10,16,265.097815,13014.27532
180,10,17,300.0,15567.564319
180,10,18,300.0,-5452.534344
180,10,19,254.495506,12724.775286
180,10,20,263.08252,11431.582304
180,10,21,300.0,15621.951005
180,10,22,263.620685,13181.034244
180,10,23,270.153084,11536.488666
180,10,24,300.0,14422.12695
